一 e
窗 nbpq
窗 nbuh
窗 nrpc
窗 nrpo
窗 nrpq
窗 nruh
窗 xq
窩 nbob
窩 nbqo
窩 nrob
窩 nrqo
站 lzo
竟 ldr
端 etnr
端 ldi
端 ler
端 letr
竿 zgj
符 zpa
等 zya
答 zao
筷 zhj
箏 zee
箏 zeev
箏 zne
算 zmr
管 enb
管 enbv
管 znb
箭 zber
箭 zbi
築 zirt
築 zizt
築 zt
簡 zmd
粉 mbd
粒 mle
粗 mme
精 mhu
精 mu
糕 mbkf
糕 xbkf
糖 mleo
糧 madk
糧 man
糧 mdeq
系 crus
系 curs
系 esa
系 pes
系 pps
系 ps
系 psa
紀 sfl
約 sna
紗 ssp
紙 sxx
紙 xnj
紙 xnjv
級 spu
級 srn
紛 sbd
紫 zfs
紹 sdo
終 spb
組 sme
統 stl
統 str
絲 ssa
絲 wwe
維 sve
網 nxx
網 nxxv
網 snbf
網 xf
緊 rus
線 saf
線 saqq
線 skx
線 spdw
線 sv
線 swv
練 scs
練 sjqs
總 boh
總 sboh
總 sbuh
總 sh
總 spa
總 spoh
繩 soql
繩 sxl
罷 ful
罷 fuuf
罷 fyu
群 eh
群 eobh
翅 juee
翻 mev
翻 mqee
翻 smq
耕 lj
耕 ljj
耕 ljjv
耕 ljv
聞 mrj
肚 uy
肚 uye
肚 uyv
肥 ucl
肯 zue
育 tue
胞 unl
胞 unol
脫 ubor
脫 ur
腦 ulxu
腦 uso
腦 uspo
腦 uspx
腦 uswu
腦 usx
腦 usxu
腦 uwu
腳 ubbp
腳 up
腳 upv
腳 uwp
腳 uyup
腳 uz
腿 udkw
腿 uw
膀 ugy
膀 ulnf
臂 colu
臂 pue
臉 uac
臉 uacv
臉 uae
臉 uaob
臉 uase
臉 uoa
臣 re
與 ea
興 pobb
興 seb
舉 ehj
舉 eq
舉 eqj
舉 sebq
舊 ido
舊 idov
舊 rg
舊 rvg
舌 go
舌 goo
舌 goov
舍 bgo
舍 bo
舍 bov
舍 byo
舍 jbgo
舍 jbo
舍 jbyo
舒 bgou
舒 bu
舒 bui
舟 za
般 zru
般 zu
船 zbo
船 zro
芝 raz
芭 rcl
芳 rfy
茶 rbt
茶 rt
荒 rfs
莊 rgy
莓 rvom
莫 rdd
華 aj
華 pfj
華 rjjq
華 rrj
華 rrjv
華 rrq
萬 rqnu
萬 ru
萬 vy
萬 vyv
落 ro
落 rwpo
蒼 rado
蓋 bkf
蓋 bkfv
蓋 rce
蓋 ryuf
蕉 rvf
藍 rrf
藍 rrvf
藏 raqr
藏 rm
藏 rr
藏 rrv
藥 rpdt
藥 rrn
藥 rwpt
處 ppa
處 ppav
處 prz
處 przv
處 zpr
處 zv
號 okk
號 okzr
號 ol
蚊 cwx
蛙 cyy
蜂 cpf
蜓 ckw
蜜 nhpc
蜜 xc
蜻 chu
蝦 cfa
蝦 cofu
蝦 cox
蠅 coql
蠅 cxl
術 at
術 atl
術 atn
術 atnv
術 miai
術 miat
街 miyi
街 miyt
街 st
衝 migi
